"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"mzitj3bpfrnoe3jueezf","https://res.cloudinary.com/asak/image/upload/v1786526054/mzitj3bpfrnoe3jueezf.jpg","","image","jpg","","mzitj3bpfrnoe3jueezf","c19edd53e73603b4dc9c0be2403d9c3d","mzitj3bpfrnoe3jueezf","upload","2026-08-12T09:14:14Z"
"qvpts58uevfqnovswxur","https://res.cloudinary.com/asak/image/upload/v1786526053/qvpts58uevfqnovswxur.jpg","","image","jpg","","qvpts58uevfqnovswxur","d976a8490313776df99cdf1967253f55","qvpts58uevfqnovswxur","upload","2026-08-12T09:14:13Z"
"pi4u2rjm7bv9pgtsguop","https://res.cloudinary.com/asak/image/upload/v1786526053/pi4u2rjm7bv9pgtsguop.jpg","","image","jpg","","pi4u2rjm7bv9pgtsguop","8f2df8c98fd486601fcd3df76f2b87e5","pi4u2rjm7bv9pgtsguop","upload","2026-08-12T09:14:13Z"
"xpebk0qv4caxt1p0slfs","https://res.cloudinary.com/asak/image/upload/v1786526053/xpebk0qv4caxt1p0slfs.jpg","","image","jpg","","xpebk0qv4caxt1p0slfs","abb8bc911551d510c81c271081a0ce56","xpebk0qv4caxt1p0slfs","upload","2026-08-12T09:14:13Z"
"drgrym6tetcvahk5jgky","https://res.cloudinary.com/asak/image/upload/v1786526053/drgrym6tetcvahk5jgky.jpg","","image","jpg","","drgrym6tetcvahk5jgky","53539fafaf6e0fab5083a6caf0ea3488","drgrym6tetcvahk5jgky","upload","2026-08-12T09:14:13Z"
"boozyk5rau1chxmuzifw","https://res.cloudinary.com/asak/image/upload/v1786526052/boozyk5rau1chxmuzifw.png","","image","png","","boozyk5rau1chxmuzifw","cfcc125cffdd60839e663d17e36a9faf","boozyk5rau1chxmuzifw","upload","2026-08-12T09:14:12Z"
"k56vmycgwrvzh23rdpgi","https://res.cloudinary.com/asak/image/upload/v1786526052/k56vmycgwrvzh23rdpgi.jpg","","image","jpg","","k56vmycgwrvzh23rdpgi","23933b05099c8b8439ce152d2a72c066","k56vmycgwrvzh23rdpgi","upload","2026-08-12T09:14:12Z"
"atlqjpe7wdqjcwdwyomx","https://res.cloudinary.com/asak/image/upload/v1786526052/atlqjpe7wdqjcwdwyomx.png","","image","png","","atlqjpe7wdqjcwdwyomx","c97c5607574a083fa373689b36dead87","atlqjpe7wdqjcwdwyomx","upload","2026-08-12T09:14:12Z"
"ww0mepul6haxilqqvag3","https://res.cloudinary.com/asak/image/upload/v1786526052/ww0mepul6haxilqqvag3.jpg","","image","jpg","","ww0mepul6haxilqqvag3","8c938505f308a0ce52715c1d5f3c8fb9","ww0mepul6haxilqqvag3","upload","2026-08-12T09:14:12Z"
"sxrxqcwmkh4aowqt0p5z","https://res.cloudinary.com/asak/image/upload/v1786526052/sxrxqcwmkh4aowqt0p5z.png","","image","png","","sxrxqcwmkh4aowqt0p5z","72bbdb6d8d2613b41d229968c8a4ee0c","sxrxqcwmkh4aowqt0p5z","upload","2026-08-12T09:14:12Z"
"s72kzstby5bsacrj2en7","https://res.cloudinary.com/asak/image/upload/v1786526051/s72kzstby5bsacrj2en7.png","","image","png","","s72kzstby5bsacrj2en7","d86c09ec0126c4167f2bbe17a6fdb793","s72kzstby5bsacrj2en7","upload","2026-08-12T09:14:11Z"
"ewawyqgef1nzn7ixa1im","https://res.cloudinary.com/asak/image/upload/v1786526051/ewawyqgef1nzn7ixa1im.jpg","","image","jpg","","ewawyqgef1nzn7ixa1im","8b8be0b7a485709dee9039ce801050d3","ewawyqgef1nzn7ixa1im","upload","2026-08-12T09:14:11Z"
"n8ep66k7vse8kezzs4l5","https://res.cloudinary.com/asak/image/upload/v1786526051/n8ep66k7vse8kezzs4l5.jpg","","image","jpg","","n8ep66k7vse8kezzs4l5","790fcca485bba3702cecf5002d740602","n8ep66k7vse8kezzs4l5","upload","2026-08-12T09:14:11Z"
"fnpx1w2oxwiamyzydxhv","https://res.cloudinary.com/asak/image/upload/v1786526050/fnpx1w2oxwiamyzydxhv.jpg","","image","jpg","","fnpx1w2oxwiamyzydxhv","aecb315f67c1ea333c2462a8052159cd","fnpx1w2oxwiamyzydxhv","upload","2026-08-12T09:14:10Z"
"kshakxxznkvmpm41gqir","https://res.cloudinary.com/asak/image/upload/v1786526050/kshakxxznkvmpm41gqir.png","","image","png","","kshakxxznkvmpm41gqir","6bdfab0895e91f127dadcd3df3a98c5d","kshakxxznkvmpm41gqir","upload","2026-08-12T09:14:10Z"
"cpxp60f7fofbn300am81","https://res.cloudinary.com/asak/image/upload/v1786526050/cpxp60f7fofbn300am81.jpg","","image","jpg","","cpxp60f7fofbn300am81","873672d7ccb9b36506a851c3f6deaeba","cpxp60f7fofbn300am81","upload","2026-08-12T09:14:10Z"
"p5qjcxnynfb6tlxljyjx","https://res.cloudinary.com/asak/image/upload/v1786526050/p5qjcxnynfb6tlxljyjx.jpg","","image","jpg","","p5qjcxnynfb6tlxljyjx","e1df12f3aca3bc06adcad9b853fd7d0b","p5qjcxnynfb6tlxljyjx","upload","2026-08-12T09:14:10Z"
"ci96fj6pjobkjeaastds","https://res.cloudinary.com/asak/image/upload/v1786526050/ci96fj6pjobkjeaastds.jpg","","image","jpg","","ci96fj6pjobkjeaastds","0cb3b554dd4250932b6eda609c30b40e","ci96fj6pjobkjeaastds","upload","2026-08-12T09:14:10Z"
"d9utz2jtqfu3eirf595z","https://res.cloudinary.com/asak/image/upload/v1786526049/d9utz2jtqfu3eirf595z.jpg","","image","jpg","","d9utz2jtqfu3eirf595z","9097184c8445748c2582d1ba496ca2d1","d9utz2jtqfu3eirf595z","upload","2026-08-12T09:14:09Z"
"kyatmkjle8ylh0fwo7ce","https://res.cloudinary.com/asak/image/upload/v1786526049/kyatmkjle8ylh0fwo7ce.png","","image","png","","kyatmkjle8ylh0fwo7ce","f8e36a03a363906b7ba9cae3497e9e4d","kyatmkjle8ylh0fwo7ce","upload","2026-08-12T09:14:09Z"
"q9zjjt1h6ug9pm7hbenk","https://res.cloudinary.com/asak/image/upload/v1786526049/q9zjjt1h6ug9pm7hbenk.png","","image","png","","q9zjjt1h6ug9pm7hbenk","e6a47c9d202a53d6dc80a261c29f8007","q9zjjt1h6ug9pm7hbenk","upload","2026-08-12T09:14:09Z"
"myovzttuhbe0rubha9fi","https://res.cloudinary.com/asak/image/upload/v1786526048/myovzttuhbe0rubha9fi.png","","image","png","","myovzttuhbe0rubha9fi","46bb19fd191a147e834eb1c75d0301e2","myovzttuhbe0rubha9fi","upload","2026-08-12T09:14:08Z"
"nrtefrh9x4g8lptnimih","https://res.cloudinary.com/asak/image/upload/v1786526048/nrtefrh9x4g8lptnimih.png","","image","png","","nrtefrh9x4g8lptnimih","da53a44f0ea0c92a0d9ca5778078ad85","nrtefrh9x4g8lptnimih","upload","2026-08-12T09:14:08Z"
"lerokvllzr8uem8rsexf","https://res.cloudinary.com/asak/image/upload/v1786526048/lerokvllzr8uem8rsexf.png","","image","png","","lerokvllzr8uem8rsexf","3c95c7161385755703b2f47bc6df3dc9","lerokvllzr8uem8rsexf","upload","2026-08-12T09:14:08Z"
"eywrncdvvi70n7yojikz","https://res.cloudinary.com/asak/image/upload/v1786526048/eywrncdvvi70n7yojikz.png","","image","png","","eywrncdvvi70n7yojikz","613e3d7f04f14bd3d38b71a52e694715","eywrncdvvi70n7yojikz","upload","2026-08-12T09:14:08Z"
"f4o7zmgmb656ayqntklq","https://res.cloudinary.com/asak/image/upload/v1786526048/f4o7zmgmb656ayqntklq.png","","image","png","","f4o7zmgmb656ayqntklq","8479bf0cad2f0c6f6c998f234d603c90","f4o7zmgmb656ayqntklq","upload","2026-08-12T09:14:08Z"
"jtksyvr6ds0fl9saejiq","https://res.cloudinary.com/asak/image/upload/v1786526047/jtksyvr6ds0fl9saejiq.jpg","","image","jpg","","jtksyvr6ds0fl9saejiq","cd42327615cfacea6f02d8245a1059c5","jtksyvr6ds0fl9saejiq","upload","2026-08-12T09:14:07Z"
"nkf6ke39vxzttiwsngf3","https://res.cloudinary.com/asak/image/upload/v1786526047/nkf6ke39vxzttiwsngf3.jpg","","image","jpg","","nkf6ke39vxzttiwsngf3","812e2c2a355a28457cfe9b5243b507e7","nkf6ke39vxzttiwsngf3","upload","2026-08-12T09:14:07Z"
"vwfmbqcijtdkjh3nbi4q","https://res.cloudinary.com/asak/image/upload/v1786526047/vwfmbqcijtdkjh3nbi4q.png","","image","png","","vwfmbqcijtdkjh3nbi4q","924d2102557307b5e18ee56c603618df","vwfmbqcijtdkjh3nbi4q","upload","2026-08-12T09:14:07Z"
