"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"dvwwptp4njrbiznachkc","https://res.cloudinary.com/asak/image/upload/v1786526038/dvwwptp4njrbiznachkc.svg","","image","svg","","dvwwptp4njrbiznachkc","d97ce5f74fe416641abd0974a9c4a490","dvwwptp4njrbiznachkc","upload","2026-08-12T09:13:58Z"
"v17nu1vpa8zkvvunqou7","https://res.cloudinary.com/asak/image/upload/v1786526038/v17nu1vpa8zkvvunqou7.svg","","image","svg","","v17nu1vpa8zkvvunqou7","10bf9211f3798daaa12223fb81668f90","v17nu1vpa8zkvvunqou7","upload","2026-08-12T09:13:58Z"
"axaz4oe2kfdmvjdjnh0x","https://res.cloudinary.com/asak/image/upload/v1786526038/axaz4oe2kfdmvjdjnh0x.svg","","image","svg","","axaz4oe2kfdmvjdjnh0x","6aead39b478d54bc20ea5adeaf7c384e","axaz4oe2kfdmvjdjnh0x","upload","2026-08-12T09:13:58Z"
"wqs0sbkwoswqtxshweow","https://res.cloudinary.com/asak/image/upload/v1786526038/wqs0sbkwoswqtxshweow.svg","","image","svg","","wqs0sbkwoswqtxshweow","88cb320ac057f6c78c20f65523319c0b","wqs0sbkwoswqtxshweow","upload","2026-08-12T09:13:58Z"
"cdturjfbimplmyelucad","https://res.cloudinary.com/asak/image/upload/v1786526038/cdturjfbimplmyelucad.svg","","image","svg","","cdturjfbimplmyelucad","8eabd8138bc212fe6ba02e10f449d015","cdturjfbimplmyelucad","upload","2026-08-12T09:13:58Z"
"cn1lrjgrbogc7ihmvvba","https://res.cloudinary.com/asak/image/upload/v1786526037/cn1lrjgrbogc7ihmvvba.svg","","image","svg","","cn1lrjgrbogc7ihmvvba","ed63c621bfacf5d054eb73657b79efe5","cn1lrjgrbogc7ihmvvba","upload","2026-08-12T09:13:57Z"
"ecalagbbhrho17bzyjqj","https://res.cloudinary.com/asak/image/upload/v1786526037/ecalagbbhrho17bzyjqj.svg","","image","svg","","ecalagbbhrho17bzyjqj","ad46989c36eb6e6b4130c7f2d005f95d","ecalagbbhrho17bzyjqj","upload","2026-08-12T09:13:57Z"
"qiohqtmpxe2xxco5uiuv","https://res.cloudinary.com/asak/image/upload/v1786526037/qiohqtmpxe2xxco5uiuv.svg","","image","svg","","qiohqtmpxe2xxco5uiuv","30158bc2af7a55b70e1c50966142c46a","qiohqtmpxe2xxco5uiuv","upload","2026-08-12T09:13:57Z"
"o2ts2kor02dzufvci3dj","https://res.cloudinary.com/asak/image/upload/v1786526037/o2ts2kor02dzufvci3dj.svg","","image","svg","","o2ts2kor02dzufvci3dj","a641081d8a076756693eaa4c4bec4cb9","o2ts2kor02dzufvci3dj","upload","2026-08-12T09:13:57Z"
"urscrqoyisct1qutue43","https://res.cloudinary.com/asak/image/upload/v1786526036/urscrqoyisct1qutue43.svg","","image","svg","","urscrqoyisct1qutue43","5da3238d693ef344b2cdec4f9f8d6c5f","urscrqoyisct1qutue43","upload","2026-08-12T09:13:56Z"
"mu7zfrsrt4jivufwwvu8","https://res.cloudinary.com/asak/image/upload/v1786526036/mu7zfrsrt4jivufwwvu8.svg","","image","svg","","mu7zfrsrt4jivufwwvu8","743998e3058eca03a9359b65819190eb","mu7zfrsrt4jivufwwvu8","upload","2026-08-12T09:13:56Z"
"pfhmnnowcrjlaxvrlvcs","https://res.cloudinary.com/asak/image/upload/v1786526036/pfhmnnowcrjlaxvrlvcs.svg","","image","svg","","pfhmnnowcrjlaxvrlvcs","04012f5e79cd5479c7fee1d2608a6794","pfhmnnowcrjlaxvrlvcs","upload","2026-08-12T09:13:56Z"
"aoyllg9qcyvuae1wtamy","https://res.cloudinary.com/asak/image/upload/v1786526035/aoyllg9qcyvuae1wtamy.svg","","image","svg","","aoyllg9qcyvuae1wtamy","500ba3394d057a21dfdef9c10258176c","aoyllg9qcyvuae1wtamy","upload","2026-08-12T09:13:55Z"
"kmkjyaqlbnjwcjvjam8i","https://res.cloudinary.com/asak/image/upload/v1786526035/kmkjyaqlbnjwcjvjam8i.svg","","image","svg","","kmkjyaqlbnjwcjvjam8i","71de92ec886d83729266d5881d854b79","kmkjyaqlbnjwcjvjam8i","upload","2026-08-12T09:13:55Z"
"k1ligllwtkkt6rrc8xif","https://res.cloudinary.com/asak/image/upload/v1786526035/k1ligllwtkkt6rrc8xif.svg","","image","svg","","k1ligllwtkkt6rrc8xif","c52059b133de822fc463443af453014b","k1ligllwtkkt6rrc8xif","upload","2026-08-12T09:13:55Z"
